,Y,Y_RF,sig_1,pos_1,bal_1,sig_2,pos_2,bal_2,sig_3,pos_3,bal_3,Y_close,PL1,PL2,PL3
39,847.5,853.6967182853343,1.0,1.0,1022970.0,1.0,1.0,1014920.0,-1.0,-1.0,1021770.0,849.0,750.0,750.0,-1125.0
40,847.5,852.3899562440207,1.0,1.0,1022855.0,1.0,0.0,1014920.0,-1.0,-1.0,1020905.0,847.27,-115.0,0.0,-865.0
41,844.86,848.3709637693368,1.0,1.0,1025425.0,1.0,0.0,1014920.0,-1.0,-1.0,1022270.0,850.0,2570.0,0.0,1365.0
42,851.13,847.5033875629198,-1.0,-1.0,1023495.0,-1.0,-1.0,1012990.0,-1.0,-1.0,1024765.0,854.99,-1930.0,-1930.0,2495.0
43,854.99,851.2568978693802,-1.0,-1.0,1021890.0,-1.0,0.0,1012990.0,-1.0,-1.0,1026370.0,858.2,-1605.0,0.0,1605.0
44,862.9,855.7887707317807,-1.0,-1.0,1022565.0,-1.0,0.0,1012990.0,-1.0,-1.0,1028045.0,861.55,675.0,0.0,1675.0
45,861.6,858.4076147275392,-1.0,-1.0,1020890.0,-1.0,0.0,1012990.0,-1.0,-1.0,1029745.0,864.95,-1675.0,0.0,1700.0
46,864.58,864.0902759437927,-1.0,-1.0,1020200.0,-1.0,0.0,1012990.0,-1.0,-1.0,1030250.0,865.96,-690.0,0.0,505.0
47,867.0,865.4486345360413,-1.0,-1.0,1019505.0,-1.0,0.0,1012990.0,-1.0,-1.0,1031465.0,868.39,-695.0,0.0,1215.0
48,868.39,866.2401799605042,-1.0,-1.0,1018325.0,-1.0,0.0,1012990.0,-1.0,-1.0,1032645.0,870.75,-1180.0,0.0,1180.0
49,870.05,870.864397087899,1.0,1.0,1019650.0,1.0,1.0,1014315.0,-1.0,-1.0,1033620.0,872.7,1325.0,1325.0,975.0
50,873.0,871.7779599892309,-1.0,-1.0,1022150.0,-1.0,-1.0,1016815.0,-1.0,-1.0,1031270.0,868.0,2500.0,2500.0,-2350.0
