Date,Open,High,Low,Close,Volume,SP500,ADS_Index,Returns,Mkt-RF,SMB,HML,RF,Average_OC,Average_all,O-C,H-L,open_tmr,close_tmr,logVol
2017-08-16,942.5,949.9,940.03,942.98,8335,2468.11,-0.399625706615945,-0.0009056702453052351,0.18,-0.13,-0.45,0.004,942.74,943.8525000000001,-0.4800000000000182,9.870000000000005,942.0,928.0,9.028218795184895
2017-08-17,942.0,943.81,927.64,928.0,11128,2430.01,-0.404417917942729,0.006576912041959299,-1.59,-0.17,-0.15,0.004,935.0,935.3625,14.0,16.16999999999996,928.31,925.45,9.31721973360328
2017-08-18,928.31,931.02,923.45,925.45,9365,2425.55,-0.408767939389751,-0.017746906142919197,-0.15,0.14,0.21,0.004,926.88,927.0575,2.8599999999999,7.569999999999936,925.78,922.5,9.144734614878189
2017-08-21,925.78,928.25,918.6,922.5,8829,2428.37,-0.419068397589101,-0.0015966645897784188,0.06,-0.25,-0.22,0.004,924.14,923.7825,3.2799999999999727,9.649999999999977,926.39,941.2,9.085797036901582
2017-08-22,926.39,941.97,924.97,941.2,11838,2452.51,-0.421620485687431,-0.005749722707268296,1.07,-0.02,-0.25,0.004,933.7950000000001,933.6325000000002,-14.81000000000006,17.0,941.31,941.87,9.37906997525067
2017-08-23,941.31,945.43,935.24,941.87,7229,2444.04,-0.423800214013331,0.020986472246949085,-0.32,0.1,0.4,0.004,941.5899999999999,940.9625,-0.5600000000000591,10.18999999999994,944.21,937.01,8.885855993000296
2017-08-24,944.21,946.31,930.74,937.01,7933,2438.97,-0.425607866009954,0.002315472205248423,-0.14,0.6,0.18,0.004,940.61,939.5675,7.2000000000000455,15.569999999999936,940.69,930.7,8.978786553302003
2017-08-25,940.69,941.75,930.1,930.7,7401,2443.05,-0.427043676737134,-0.0060549189793249625,0.18,0.13,0.58,0.004,935.695,935.8100000000001,9.990000000000009,11.649999999999977,930.34,923.1,8.909370405197466
2017-08-28,930.34,934.85,921.0,923.1,6506,2444.24,-0.428952257206362,-0.0068438193305870604,0.08,0.35,-0.74,0.004,926.72,927.3225,7.240000000000009,13.850000000000023,917.2,935.9,8.780480107033297
2017-08-29,917.2,938.19,917.2,935.9,7550,2446.3,-0.426664315888101,-0.0025502615131884204,0.1,0.14,-0.39,0.004,926.55,927.1225000000001,-18.699999999999932,20.99000000000001,938.0,943.63,8.92930284224307
2017-08-30,938.0,945.86,934.05,943.63,6565,2457.59,-0.421936351413504,0.008176532215421403,0.53,0.02,-0.32,0.004,940.815,940.3850000000001,-5.6299999999999955,11.81000000000006,946.0,955.3,8.789507786736896
2017-08-31,946.0,957.2,946.0,955.3,11163,2471.65,-0.414767748976983,0.008385798674961002,0.62,0.47,-0.42,0.004,950.65,951.125,-9.299999999999955,11.200000000000045,958.15,952.77,9.320360017014732
2017-09-01,958.15,959.0,950.28,952.77,6415,2476.55,-0.405157576402156,0.01222846188038899,0.27,0.41,0.44,0.005,955.46,955.05,5.3799999999999955,8.720000000000027,953.95,943.25,8.766394277049736
2017-09-05,953.95,953.95,935.6,943.25,9155,2457.85,-0.348401461870635,-0.0034080873096852425,-0.81,0.1,-0.95,0.005,948.6,946.6875,10.700000000000045,18.350000000000023,942.0,941.11,9.122055457108612
2017-09-06,942.0,944.79,932.68,941.11,9273,2465.54,-0.33280458599909,-0.011101436099597213,0.28,-0.03,0.13,0.005,941.5550000000001,940.145,0.8899999999999864,12.110000000000014,945.64,949.54,9.134862230800225
2017-09-07,945.64,950.5,937.53,949.54,6864,2465.1,-0.317141468552393,0.0005734430738505945,-0.07,0.15,-0.93,0.005,947.5899999999999,945.8025,-3.8999999999999773,12.970000000000027,949.49,942.0,8.834045641167798
2017-09-08,949.49,950.7,940.01,942.0,6527,2461.43,-0.301410072761407,0.008319677203629135,-0.16,0.04,0.36,0.005,945.745,945.55,7.490000000000009,10.690000000000055,945.36,943.23,8.783702698635217
2017-09-11,945.36,952.68,941.0,943.23,9138,2488.11,-0.252748916823848,-0.00896748150068429,1.08,-0.12,0.63,0.005,944.2950000000001,945.5675,2.1299999999999955,11.67999999999995,946.19,946.65,9.120196822123217
